id_producto,nombre_producto,precio,tiempo_fabricacion,caducidad,categoria
1,Leche entera 500ml,1.5,3,6,Lácteos
2,Huevos frescos (4 unidades),0.9,2,28,Huevos y derivados
3,Queso cheddar 200gr,3.2,4,14,Lácteos
4,Yogur natural 4 unidades (125gr cada uno),2.5,1,17,Lácteos
5,Mantequilla 100gr,1.8,1,10,Lácteos
6,Carne de ternera picada 500gr,5.5,1,5,Carnes
7,Pechuga de pollo fresca 1kg,6.0,1,4,Carnes
8,Filetes de pescado blanco 500gr,7.0,2,6,Pescados
9,Jamón serrano loncheado 150gr,4.5,1,15,Carnes procesadas
10,Tocino ahumado en lonchas 200gr,3.8,2,10,Carnes procesadas
11,"Manzanas rojas (6 unidades, aprox. 1kg)",2.4,1,5,Frutas
12,"Plátanos maduros (6 unidades, aprox. 1kg)",2.0,1,4,Frutas
13,Fresas frescas (caja de 250gr),3.0,0,2,Frutas
14,Espinacas frescas en bolsa 300gr,1.5,0,3,Verduras
15,Lechuga romana 1 unidad,1.2,1,4,Verduras
16,Tomates maduros (aprox. 1kg),2.3,1,5,Verduras
17,Cebollas amarillas (aprox. 1kg),1.8,1,4,Verduras
18,Zanahorias frescas (500gr),1.5,0,3,Verduras
19,Patatas para cocinar (1kg),2.0,1,8,Verduras
20,Pan fresco de hogaza (500gr),1.8,0,3,Panadería
